ts_unix,t_ns,seq,version,slave,torque_mNm_raw,torque_Nm_raw,torque_Nm_smooth,ratio_pct
1768033626.5320632,7967579647960,67457,1,1,14124,14.124,14.124,16.2
1768033626.5420098,7967589648344,67458,1,1,14124,14.124,14.124,16.2
1768033626.552071,7967599649468,67459,1,1,13499,13.499,14.124,15.5
1768033626.56201,7967609649167,67460,1,1,12874,12.874,14.124,14.7
1768033626.5719957,7967619649809,67461,1,1,13499,13.499,14.093516481911976,15.5
1768033626.5820022,7967629650471,67462,1,1,13499,13.499,14.064519699072017,15.5
1768033626.5919929,7967639650781,67463,1,1,13499,13.499,14.036938144087323,15.5
1768033626.6019993,7967649651498,67464,1,1,13499,13.499,14.010700756766665,15.5
1768033626.611997,7967659651678,67465,1,1,14124,14.124,13.985744378305597,16.2
1768033626.6219916,7967669651932,67466,1,1,13499,13.499,13.962004986837885,15.5
1768033626.632018,7967679656667,67467,1,1,13499,13.499,13.939413540256767,15.5
1768033626.6419954,7967689652551,67468,1,1,12874,12.874,13.917942940197758,14.7
1768033626.6520174,7967699659027,67469,1,1,14124,14.124,13.897497948330475,16.2
1768033626.6620145,7967709653244,67470,1,1,13499,13.499,13.878073934819472,15.5
1768033626.6719935,7967719652832,67471,1,1,13499,13.499,13.859587023670052,15.5
1768033626.682003,7967729654086,67472,1,1,13499,13.499,13.841998836398643,15.5
1768033626.6919997,7967739653673,67473,1,1,14124,14.124,13.825271259501351,16.2
1768033626.7019968,7967749653724,67474,1,1,12874,12.874,13.809358743265104,14.7
1768033626.7119937,7967759654070,67475,1,1,13499,13.499,13.794221858010573,15.5
1768033626.7220094,7967769659435,67476,1,1,12874,12.874,13.779816185100227,14.7
1768033626.7320175,7967779654226,67477,1,1,13499,13.499,13.766127575390476,15.5
1768033626.7420063,7967789654129,67478,1,1,13499,13.499,13.753099733045294,15.5
1768033626.7519948,7967799654827,67479,1,1,14124,14.124,13.740706299274004,16.2
1768033626.762024,7967809653878,67480,1,1,13499,13.499,13.72891923492079,15.5
1768033626.771996,7967819654021,67481,1,1,13499,13.499,13.717705785140655,15.5
